season,name,count
2023-24,João Victor Gomes da Silva,34
2023-24,Victor da Silva,32
2023-24,Yegor Yarmoliuk,24
2023-24,Anis Slimane,15
2023-24,Jordan Beyer,15
2023-24,Ben Brereton,14
2023-24,Mathias Jorgensen,14
2023-24,Felipe Augusto de Almeida Monteiro,7
2023-24,Odysseas Vlachodimos,5
2023-24,Hamed Traorè,3
2023-24,Yegor Yarmolyuk,3
2023-24,Jonathan Castro Otto,1
2023-24,Michale Olakigbe,1
2024-25,André Trindade da Costa Neto,33
2024-25,Felipe Rodrigues da Silva,26
2024-25,João Victor Gomes da Silva,23
2024-25,João Pedro Ferreira Silva,20
2024-25,Will Smallbone,18
2024-25,Łukasz Fabiański,14
2024-25,Carlos Roberto Forbs Borges,10
2024-25,Welington Damascena Santos,10
2024-25,Nico O'Reilly,9
2024-25,Igor Thiago Nascimento Rodrigues,8
2024-25,Abdukodir Khusanov,6
2024-25,Francisco Jorge Tomás Oliveira,1
2025-26,Igor Thiago Nascimento Rodrigues,22
2025-26,André Trindade da Costa Neto,21
2025-26,João Victor Gomes da Silva,21
2025-26,Nico O'Reilly,21
2025-26,Yéremy Pino Santos,20
2025-26,Daniel Ballard,18
2025-26,Kevin Santos Lopes de Macedo,18
2025-26,Estêvão Almeida de Oliveira Gonçalves,17
2025-26,Rayan Cherki,17
2025-26,Álex Jiménez Sánchez,17
2025-26,Murillo Costa dos Santos,16
2025-26,Sávio Moreira de Oliveira,15
2025-26,Felipe Rodrigues da Silva,10
2025-26,Junior Kroupi,10
2025-26,Arnaud Kalimuendo,9
2025-26,Fer López González,9
2025-26,Abdukodir Khusanov,8
2025-26,Luke O'Nien,3
2025-26,Pablo Felipe Pereira de Jesus,2
2025-26,Trey Nyoni,2
2025-26,Enes Ünal,1
2025-26,Hamed Traorè,1
2025-26,Jair Paula da Cunha Filho,1
2025-26,Lewis Cook,1
